2026-03-27 21:58:00.736027,0.00,0.00
2026-03-27 21:58:00.770285,0.00,12.48
2026-03-27 21:58:00.784759,0.00,31.35
2026-03-27 21:58:00.800324,0.00,38.61
2026-03-27 21:58:00.824711,0.00,41.22
2026-03-27 21:58:00.855031,0.00,39.50
2026-03-27 21:58:00.879033,0.00,39.58
2026-03-27 21:58:00.913652,0.00,38.14
2026-03-27 21:58:00.979635,0.00,35.61
2026-03-27 21:58:01.000734,0.00,36.58
2026-03-27 21:58:01.044070,0.00,39.00
2026-03-27 21:58:02.226014,0.00,41.40
2026-03-27 21:58:02.252458,0.00,34.58
2026-03-27 21:58:02.269414,0.00,34.44
2026-03-27 21:58:02.286368,0.00,35.54
2026-03-27 21:58:02.303322,0.00,38.02
2026-03-27 21:58:02.315290,0.00,41.18
2026-03-27 21:58:02.368150,0.00,40.30
2026-03-27 21:58:02.380116,0.00,47.88
2026-03-27 21:58:02.421046,0.00,45.85
2026-03-27 21:58:02.432016,0.00,51.79
2026-03-27 21:58:02.484300,0.00,48.76
2026-03-27 21:58:02.547506,0.00,50.28
2026-03-27 21:58:02.940603,0.00,49.60
2026-03-27 21:58:02.950577,0.00,43.60
2026-03-27 21:58:02.957558,0.00,52.35
2026-03-27 21:58:02.971521,0.00,51.87
2026-03-27 21:58:02.987478,0.00,56.63
2026-03-27 21:58:03.022385,0.00,50.38
2026-03-27 21:58:03.034353,0.00,56.23
2026-03-27 21:58:03.088209,0.00,49.73
2026-03-27 21:58:03.134959,0.00,49.95
2026-03-27 21:58:03.146928,0.00,57.46
2026-03-27 21:58:03.212420,0.00,53.92
2026-03-27 21:58:03.232367,0.00,58.22
2026-03-27 21:58:03.586040,0.00,46.67
2026-03-27 21:58:03.595016,0.00,40.29
2026-03-27 21:58:03.630920,0.00,36.39
2026-03-27 21:58:03.645886,0.00,40.69
2026-03-27 21:58:03.680215,0.00,35.24
2026-03-27 21:58:03.691185,0.00,41.75
2026-03-27 21:58:03.746040,0.00,41.48
2026-03-27 21:58:03.812416,0.00,33.92
2026-03-27 21:58:03.825419,0.00,39.93
2026-03-27 21:58:03.878361,0.00,37.30
2026-03-27 21:58:03.891326,0.00,41.68
2026-03-27 21:58:03.919883,0.00,44.55
2026-03-27 21:58:04.234190,0.00,56.03
2026-03-27 21:58:04.250148,0.00,49.18
2026-03-27 21:58:04.265108,0.00,52.53
2026-03-27 21:58:04.284612,0.00,49.88
2026-03-27 21:58:04.296580,0.00,55.22
2026-03-27 21:58:04.352430,0.00,55.49
2026-03-27 21:58:04.360409,0.00,60.33
2026-03-27 21:58:04.398463,0.00,61.03
2026-03-27 21:58:04.407438,0.00,65.01
2026-03-27 21:58:04.464957,0.00,63.55
2026-03-27 21:58:04.485966,0.00,54.28
2026-03-27 21:58:04.529852,0.00,56.25
2026-03-27 21:58:05.001828,0.00,62.55
2026-03-27 21:58:05.015790,0.00,57.05
2026-03-27 21:58:05.032747,0.00,56.15
2026-03-27 21:58:05.070750,0.00,56.89
2026-03-27 21:58:05.080727,0.00,55.49
2026-03-27 21:58:05.134102,0.00,54.74
2026-03-27 21:58:05.155127,0.00,48.14
2026-03-27 21:58:05.185048,0.00,49.77
2026-03-27 21:58:05.202003,0.00,50.67
2026-03-27 21:58:05.260398,0.00,50.27
2026-03-27 21:58:05.314197,0.00,39.43
2026-03-27 21:58:05.327306,0.00,46.31
2026-03-27 21:58:05.680285,0.00,42.10
2026-03-27 21:58:05.701229,0.00,39.84
2026-03-27 21:58:05.726602,0.00,32.65
2026-03-27 21:58:05.734579,0.00,43.30
2026-03-27 21:58:05.790636,0.00,40.55
2026-03-27 21:58:05.813598,0.00,41.98
2026-03-27 21:58:05.854520,0.00,38.41
2026-03-27 21:58:05.870479,0.00,42.44
2026-03-27 21:58:05.929388,0.00,42.56
2026-03-27 21:58:05.967391,0.00,37.85
2026-03-27 21:58:05.984419,0.00,41.67
2026-03-27 21:58:06.035478,0.00,43.29
2026-03-27 21:58:06.365229,0.00,51.01
2026-03-27 21:58:06.385679,0.00,38.77
2026-03-27 21:58:06.401635,0.00,43.26
2026-03-27 21:58:06.452061,0.00,40.51
2026-03-27 21:58:06.465026,0.00,45.89
2026-03-27 21:58:06.513278,0.00,42.07
2026-03-27 21:58:06.526242,0.00,47.37
2026-03-27 21:58:06.577911,0.00,47.05
2026-03-27 21:58:06.649852,0.00,42.59
2026-03-27 21:58:06.666840,0.00,46.72
2026-03-27 21:58:06.714376,0.00,37.21
2026-03-27 21:58:06.731323,0.00,42.49
2026-03-27 21:58:07.068569,0.00,39.35
2026-03-27 21:58:07.084527,0.00,37.63
2026-03-27 21:58:07.118436,0.00,32.87
2026-03-27 21:58:07.184783,0.00,32.30
2026-03-27 21:58:07.195786,0.00,35.13
2026-03-27 21:58:07.230765,0.00,35.93
2026-03-27 21:58:07.242272,0.00,43.61
2026-03-27 21:58:07.295590,0.00,39.42
2026-03-27 21:58:07.302573,0.00,49.80
2026-03-27 21:58:07.363178,0.00,45.87
2026-03-27 21:58:07.382568,0.00,47.96
2026-03-27 21:58:07.423892,0.00,50.07
2026-03-27 21:58:07.802524,0.00,52.80
2026-03-27 21:58:07.816487,0.00,51.56
2026-03-27 21:58:07.834441,0.00,47.47
2026-03-27 21:58:07.843432,0.00,57.15
2026-03-27 21:58:07.902258,0.00,49.69
2026-03-27 21:58:07.924847,0.00,52.26
2026-03-27 21:58:07.972728,0.00,42.01
2026-03-27 21:58:07.984696,0.00,46.62
2026-03-27 21:58:08.019617,0.00,44.19
2026-03-27 21:58:08.033788,0.00,48.84
2026-03-27 21:58:08.093313,0.00,44.99
2026-03-27 21:58:08.154468,0.00,46.36
2026-03-27 21:58:08.495615,0.00,46.72
2026-03-27 21:58:08.504581,0.00,34.47
2026-03-27 21:58:08.521535,0.00,39.10
2026-03-27 21:58:08.557390,0.00,37.38
